kepoi_name,koi_disposition,koi_period,koi_depth,koi_duration,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_score,koi_model_snr,koi_impact
K06653.01,CANDIDATE,28.2682167,197.0,1.355,1.22,526.0,18.12,5496.0,4.564,0.838,,6.0,0.5643
K06654.01,FALSE POSITIVE,0.957476655,475.1,0.6337,2.52,2140.0,4953.98,6312.0,4.338,1.122,,22.6,0.145
K06655.01,FALSE POSITIVE,1.559360638,280070.0,5.4458,94.2,2234.0,5905.62,7002.0,4.193,1.488,0.0,419.9,0.647
K06656.01,CANDIDATE,0.576272479,97.4,4.51,1.73,3398.0,31519.61,7289.0,4.13,1.709,,12.8,0.3703
K06657.01,FALSE POSITIVE,1.60369757,34.0,7.594,0.86,2088.0,4490.05,6919.0,4.29,1.413,,30.1,0.563
K06658.01,FALSE POSITIVE,2.313367981,13438.0,2.42645,33.55,1180.0,458.02,5508.0,4.598,0.764,0.0,733.6,1.247
K06659.01,FALSE POSITIVE,76.01811375,80671.0,13.4849,63.58,652.0,42.65,6703.0,4.018,1.892,0.0,604.3,0.788
K06660.01,FALSE POSITIVE,0.82883944,,1.83,,,,,,,,,
K06661.01,FALSE POSITIVE,0.573036404,4174.5,1.3176,9.97,2376.0,7539.67,5745.0,4.29,1.196,,419.6,0.9279
K06662.01,FALSE POSITIVE,0.643171495,41160.0,2.31285,54.03,2193.0,5486.36,5899.0,4.387,0.989,0.0,641.4,1.214
K06663.01,FALSE POSITIVE,14.086777443,106460.0,10.1309,65.5,1197.0,485.09,7138.0,4.062,1.89,,1950.1,0.605
K06664.01,CANDIDATE,14.7639145,162.5,3.14,0.93,632.0,37.74,5541.0,4.613,0.733,0.212,7.7,0.016
K06665.01,FALSE POSITIVE,1.872620976,1530.6,1.7626,31.43,1550.0,1362.23,6031.0,4.427,1.004,0.0,181.9,1.242
K06666.01,CANDIDATE,1.118510435,72.7,1.111,0.75,1684.0,1898.51,5918.0,4.544,0.865,0.955,9.9,0.251
K06667.01,FALSE POSITIVE,17.52782661,349810.0,5.78676,51.21,567.0,24.43,5082.0,4.537,0.758,,3969.9,0.5639
K06668.01,CANDIDATE,27.46718976,72151.0,4.19042,46.75,527.0,18.22,5503.0,4.536,0.742,,3488.6,1.1913
K06669.01,FALSE POSITIVE,25.836831272,145040.0,6.32201,50.72,587.0,28.08,5691.0,4.477,0.897,0.0,3016.9,0.899
K06670.01,FALSE POSITIVE,0.94897209,60.8,3.372,1.2,2499.0,9213.0,6680.0,4.203,1.474,,25.1,0.6031
K06671.01,FALSE POSITIVE,11.702203925,29265.0,2.75195,24.13,810.0,101.81,6157.0,4.51,0.855,,2752.4,0.9802
K06672.01,CANDIDATE,2.28494299,172.1,0.968,1.04,1182.0,462.03,5393.0,4.564,0.793,,10.9,0.2321
K06673.01,FALSE POSITIVE,3.722775537,107590.0,14.3309,90.36,1731.0,2125.53,5425.0,3.678,2.592,0.0,864.9,0.626
