kepoi_name,koi_disposition,koi_period,koi_depth,koi_duration,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_score,koi_model_snr,koi_impact
K00001.01,CONFIRMED,2.47061317,14284.0,1.7246,14.4,1394.0,,5814.0,4.38,1.06,,7856.1,0.822
K00002.01,CONFIRMED,2.204735365,6690.6,3.88216,16.39,2025.0,3973.7,6350.0,4.021,1.991,,6714.5,0.001
K00003.01,CONFIRMED,4.887802706,4342.1,2.36386,4.84,801.0,97.1,4777.0,4.59,0.765,,2207.8,0.026
K00004.01,CONFIRMED,3.8493724,1340.0,2.9278,11.8,1923.0,,6391.0,3.81,2.6,,284.0,0.9462
K00005.01,CANDIDATE,4.7803287,966.0,2.0117,5.66,1279.0,,5861.0,4.19,1.42,,456.2,0.9507
K00005.02,CANDIDATE,7.05186,20.0,3.6882,0.66,1124.0,,5861.0,4.19,1.42,,8.5,0.75
K00006.01,FALSE POSITIVE,1.3341094,369.0,2.1315,2.98,2140.0,,6167.0,4.15,1.55,,222.1,0.0283
K00007.01,CONFIRMED,3.2136641,735.0,4.1109,3.72,1386.0,,5858.0,4.28,1.27,,362.5,0.714
K00008.01,FALSE POSITIVE,1.160153243,368.7,1.4127,2.0,1752.0,2229.29,5842.0,4.433,0.985,,201.0,0.7843
K00009.01,FALSE POSITIVE,3.719807963,3749.1,3.522,7.85,1271.0,616.1,6277.0,4.457,1.015,,587.5,0.9384
K00010.01,CONFIRMED,3.52249913,9165.0,3.1984,15.9,1532.0,,6025.0,4.11,1.56,,2164.6,0.64
K00011.01,FALSE POSITIVE,3.7478395,764.0,3.6646,2.11,1011.0,,5478.0,4.59,0.79,,219.1,0.031
K00012.01,CONFIRMED,17.855149,9155.0,7.4066,13.4,912.0,,6635.0,4.25,1.4,,1173.1,0.03
K00013.01,CONFIRMED,1.7635877,4633.0,3.1666,23.0,3370.0,,9071.0,3.93,2.7,,5153.9,0.35
K00014.01,FALSE POSITIVE,2.9473849,360.0,3.03,,,,7906.0,3.937,,,131.2,
K00015.01,FALSE POSITIVE,3.0124773,1653.0,2.4685,21.0,2369.0,,8595.0,4.13,1.95,,608.2,1.03
K00016.01,FALSE POSITIVE,0.8952779,1354.0,2.8125,127.0,4347.0,,8050.0,3.68,3.6,,693.1,1.287
K00017.01,CONFIRMED,3.23469955,10634.0,3.6016,11.07,1260.0,,5826.0,4.42,1.082,,3846.4,0.029
K00018.01,CONFIRMED,3.54846566,7215.0,4.0811,17.4,1733.0,,6297.0,3.99,2.02,,2764.6,0.01
K00019.01,CANDIDATE,1.203200978,2837.6,1.9184,33.12,2124.0,4809.16,6218.0,4.198,1.349,,696.8,1.157
K00020.01,CONFIRMED,4.43796291,16465.0,4.6714,17.6,1314.0,,6011.0,4.23,1.38,,4570.5,0.018
K00021.01,FALSE POSITIVE,4.288515363,3543.1,2.28783,34.59,1395.0,895.4,6382.0,4.223,1.25,,585.1,1.1796
K00022.01,CONFIRMED,7.8914502,10348.0,3.7932,11.27,976.0,,5972.0,4.41,1.112,,2234.9,0.172
K00023.01,FALSE POSITIVE,4.693305532,14470.0,5.12493,17.99,1398.0,902.15,6351.0,4.205,1.491,,4328.3,0.0063
K00024.01,FALSE POSITIVE,2.08607713,5417.0,1.9185,10.7,1549.0,,6193.0,4.42,1.06,,607.1,0.93
K00025.01,FALSE POSITIVE,3.1326045,9086.0,2.85,,,,5995.0,4.292,,,1244.4,
K00026.01,FALSE POSITIVE,15.03946291,5609.2,5.1003,12.72,956.0,197.8,6493.0,4.22,1.424,,480.8,0.9066
K00027.01,FALSE POSITIVE,1.141877248,309490.0,4.33931,88.62,2184.0,5358.79,6158.0,4.152,1.368,0.0,2036.3,0.598
K00028.01,FALSE POSITIVE,4.100870416,123520.0,8.15361,82.46,1413.0,939.61,5923.0,4.118,1.51,0.0,2619.2,0.938
K00031.01,FALSE POSITIVE,0.925588053,384.7,1.8353,45.27,6642.0,460202.18,4094.0,1.627,24.488,,98.9,0.0064
K00033.01,FALSE POSITIVE,0.3661969,344.0,1.11,,,,3240.0,4.784,,,47.1,
K00041.01,CONFIRMED,12.815735,229.0,6.5383,2.08,869.0,,5909.0,4.3,1.23,,123.4,0.8031
K00041.02,CONFIRMED,6.887099,75.0,4.4764,1.24,1071.0,,5909.0,4.3,1.23,,48.2,0.865
K00041.03,CONFIRMED,35.33314,87.0,6.1426,1.4,620.0,,5909.0,4.3,1.23,,33.8,0.92
K00042.01,CONFIRMED,17.834381,331.0,4.655,2.71,845.0,,6170.0,4.24,1.36,,206.3,0.773
K00043.01,FALSE POSITIVE,11.320258,6277.0,3.3119,18.9,757.0,,5569.0,4.475,0.893,,232.2,1.08
K00044.01,FALSE POSITIVE,66.467694,12656.0,19.738,9.61,412.0,,5490.0,4.475,0.882,,1686.3,0.0
K00045.01,FALSE POSITIVE,6.397189809,16381.0,5.7136,13.98,981.0,218.59,5780.0,4.438,1.0,,606.8,0.8351
K00046.01,CONFIRMED,3.4876878,1295.0,4.0237,4.33,1233.0,,5764.0,4.4,1.105,,360.2,0.7535
K00046.02,CONFIRMED,6.02977241,54.6,3.961,1.18,1204.0,496.46,5576.0,4.065,1.593,0.917,11.5,0.379
K00048.01,FALSE POSITIVE,23.836808884,29685.0,6.02854,59.31,919.0,168.28,6095.0,3.894,1.94,0.0,2793.4,1.008
K00049.01,CONFIRMED,8.313759,816.0,3.0819,3.24,926.0,,5923.0,4.44,1.044,,160.3,0.75
K00051.01,CANDIDATE,10.4311627,26041.0,3.924,12.5,314.0,,3240.0,4.897,0.27,,632.7,1.21
K00052.01,FALSE POSITIVE,2.987862296,42506.0,2.5776,17.74,1065.0,303.85,5234.0,4.543,0.821,,576.6,0.6182
K00053.01,FALSE POSITIVE,3.388887193,11268.0,2.4475,10.72,1212.0,511.3,5780.0,4.438,1.0,0.0,162.9,0.387
K00061.01,FALSE POSITIVE,1.633460327,586.0,3.6195,23.3,1749.0,2211.18,6283.0,4.372,1.091,,80.1,1.1697
K00063.01,CONFIRMED,9.4341577,4049.0,2.7726,6.31,843.0,,5721.0,4.47,0.993,,578.4,0.32
K00064.01,FALSE POSITIVE,1.9510914,1203.0,1.8143,5.12,1497.0,,5439.0,4.27,1.17,,143.5,0.937
K00065.01,FALSE POSITIVE,27.25472,36.0,0.7283,7.7,696.0,,5751.0,4.18,1.31,,3.4,1.02
K00066.01,FALSE POSITIVE,0.436282594,536.4,1.3988,83.25,5187.0,170399.16,8491.0,3.853,2.622,0.0,218.3,1.269
K00068.01,FALSE POSITIVE,1.0008396,2492.0,1.1039,40.0,2291.0,,6341.0,4.21,1.41,,74.5,1.2
K00069.01,CONFIRMED,4.7267482,270.0,2.934,1.5,1000.0,,5593.0,4.51,0.871,,312.4,0.632
K00070.01,CONFIRMED,10.854097835,1051.0,3.7747,3.03,765.0,80.88,5465.0,4.449,0.925,,279.8,0.4384
K00070.02,CONFIRMED,3.6961159,387.0,2.4973,1.97,1097.0,,5443.0,4.45,0.939,,156.2,0.7
K00070.03,CONFIRMED,77.61153,825.0,7.3552,2.84,397.0,,5443.0,4.45,0.939,,130.0,0.651
K00070.04,CONFIRMED,6.098496,80.0,2.7716,0.91,927.0,,5443.0,4.45,0.939,,29.7,0.729
K00070.05,CONFIRMED,19.57709,94.0,3.4555,1.03,629.0,,5443.0,4.45,0.939,,24.5,0.819
K00072.01,CONFIRMED,0.837491331,191.9,1.8076,1.45,1968.0,3545.07,5627.0,4.342,1.056,,205.7,0.0489
K00072.02,CONFIRMED,45.29406,495.0,6.8586,2.19,505.0,,5627.0,4.39,1.0,,162.1,0.0675
K00074.01,FALSE POSITIVE,5.188670548,593.6,4.61816,4.46,2118.0,4759.7,9525.0,4.205,1.942,,915.9,0.0891
K00075.01,CANDIDATE,105.88531,1651.0,18.3308,8.83,547.0,,5925.0,3.9,2.06,,308.2,0.683
K00076.01,CANDIDATE,77.4797188,1253.9,10.1723,8.22,695.0,55.3,6715.0,3.922,2.301,,111.2,0.0115
K00080.01,CANDIDATE,9.250572762,1039.5,3.6373,96.08,1966.0,3530.57,8133.0,3.715,3.294,0.0,351.4,1.234
K00081.01,FALSE POSITIVE,23.8761144,1611.7,9.3113,10.45,1481.0,1135.6,9974.0,4.048,2.533,0.0,225.5,0.014
K00082.01,CONFIRMED,16.145690772,989.2,3.7246,2.52,549.0,21.46,4812.0,4.548,0.755,,301.8,0.6842
K00082.02,CONFIRMED,10.311732,267.0,3.2071,1.34,634.0,,4908.0,4.61,0.736,,110.6,0.78
K00082.03,CONFIRMED,27.45362,159.0,3.8289,1.08,457.0,,4908.0,4.61,0.736,,35.3,0.843
K00082.04,CONFIRMED,7.07134,78.0,3.2631,0.69,718.0,,4908.0,4.61,0.736,,30.9,0.672
K00082.05,CONFIRMED,5.286978,42.0,2.4394,0.54,792.0,,4908.0,4.61,0.736,,20.6,0.794
K00082.06,FALSE POSITIVE,22.4098677,69.8,2.271,0.73,489.0,13.55,4900.0,4.602,0.741,1.0,11.9,0.869
K00084.01,CONFIRMED,9.287009,696.0,3.5406,2.53,781.0,,5541.0,4.53,0.857,,289.9,0.814
K00085.01,CONFIRMED,5.859938722,320.4,4.0004,2.55,1236.0,552.06,6169.0,4.236,1.424,,259.3,0.0265
K00085.02,CONFIRMED,2.1549189,98.0,3.23,1.27,1592.0,,6172.0,4.36,1.197,,116.7,0.714
K00085.03,CONFIRMED,8.131146,115.0,4.363,1.41,1028.0,,6172.0,4.36,1.197,,82.6,0.789
K00087.01,CONFIRMED,289.8622,490.0,7.3991,2.1,250.0,,5510.0,4.5,0.85,,66.1,0.81
K00088.01,FALSE POSITIVE,5.179682557,349.6,3.3448,2.61,1043.0,279.62,5766.0,4.423,0.923,,222.8,0.9845
K00089.01,CONFIRMED,84.6877524,347.7,10.0248,3.37,611.0,32.96,6688.0,4.062,1.79,0.881,95.1,0.017
K00089.02,CONFIRMED,207.5829306,505.1,7.0686,4.52,453.0,9.97,6688.0,4.062,1.79,0.997,70.0,0.84
K00090.01,FALSE POSITIVE,0.82820711,431.0,1.9009,3.3,2506.0,,5796.0,4.03,1.63,,227.9,0.026
K00092.01,CONFIRMED,65.70462,653.0,3.7622,3.32,469.0,,5952.0,4.43,1.044,,120.2,0.942
K00094.01,CONFIRMED,22.342969585,5675.2,6.68603,9.77,767.0,81.73,6098.0,4.247,1.297,,1211.1,0.0056
K00094.02,CONFIRMED,10.423677765,795.1,5.2291,3.66,989.0,225.89,6098.0,4.247,1.297,,217.7,0.127
K00094.03,CONFIRMED,54.31998605,1996.2,8.4652,5.79,570.0,25.01,6098.0,4.247,1.297,,308.6,0.0352
K00094.04,CONFIRMED,3.743175556,128.6,3.7301,1.55,1391.0,885.02,6098.0,4.247,1.297,,49.8,0.6516
K00097.01,CONFIRMED,4.88548917,7489.0,5.2295,16.1,1413.0,,5934.0,4.04,1.78,,3548.4,0.5145
K00098.01,CONFIRMED,6.7901235,2255.0,6.2711,10.0,1290.0,,6395.0,4.15,1.63,,1209.9,0.5878
K00099.01,CANDIDATE,580.0,1814.0,21.2182,3.4,,,4992.0,4.62,0.7,,109.1,
K00099.02,FALSE POSITIVE,79.87804945,,3.19,,,,,,,,,
K00100.01,CANDIDATE,9.966447,1591.0,5.1247,21.8,1573.0,,6630.0,3.69,3.18,,192.3,0.9902
K00102.01,CONFIRMED,1.7351365,920.0,2.4017,3.69,1571.0,,5838.0,4.42,1.079,,525.3,0.814
K00102.02,CONFIRMED,4.068545,73.0,2.6525,1.09,1173.0,,5838.0,4.42,1.079,,32.5,0.854
K00103.01,CONFIRMED,14.910755,861.0,3.3104,2.95,703.0,,5531.0,4.44,0.955,,174.4,0.65
K00104.01,CONFIRMED,2.5080585,1539.0,1.1419,3.36,996.0,,4786.0,4.59,0.757,,333.0,0.81
K00105.01,CONFIRMED,8.981008,1077.0,1.897,3.35,861.0,,5649.0,4.4,0.96,,231.8,0.7
K00106.01,FALSE POSITIVE,1.6122513,409.0,3.0177,5.0,2618.0,,6731.0,3.87,2.41,,197.6,0.48
K00107.01,CONFIRMED,7.256999,466.0,5.1108,3.1,1062.0,,5919.0,4.29,1.27,,181.3,0.831
K00108.01,CONFIRMED,15.96533687,486.1,4.527,3.14,864.0,131.47,5845.0,4.163,1.436,,149.3,0.0368
K00108.02,CONFIRMED,179.609803,1273.0,13.755,5.47,389.0,5.41,5880.0,4.154,1.433,1.0,184.6,0.711
K00109.01,FALSE POSITIVE,6.414965741,519.8,4.0026,60.66,1229.0,539.36,6170.0,4.15,1.352,,152.0,1.391
K00110.01,CONFIRMED,9.940678,529.0,3.9767,3.0,1017.0,,6538.0,4.36,1.21,,189.7,0.754
K00111.01,CONFIRMED,11.427550984,500.9,4.6074,2.35,852.0,124.31,5979.0,4.394,1.005,0.999,165.5,0.608
K00111.02,CONFIRMED,23.66834635,449.4,5.8297,2.32,668.0,47.11,5979.0,4.394,1.005,1.0,112.8,0.758
K00111.03,CONFIRMED,51.75530504,609.2,7.4355,2.61,515.0,16.6,5979.0,4.394,1.005,0.978,116.9,0.638
K00111.04,FALSE POSITIVE,103.627,56.0,6.889,0.77,383.0,,5711.0,4.41,0.93,,3.0,0.79
K00112.01,CONFIRMED,51.07931,768.0,6.4316,2.86,492.0,,5853.0,4.46,0.991,,132.3,0.615
K00112.02,CONFIRMED,3.709191,136.0,2.6782,1.2,1185.0,,5853.0,4.46,0.991,,56.0,0.595
K00113.01,FALSE POSITIVE,386.60243,25086.0,6.8093,62.0,285.0,,5500.0,4.133,1.47,,1284.0,1.179
K00114.01,FALSE POSITIVE,7.36178044,323.3,5.0378,35.33,1342.0,767.22,6227.0,3.986,1.958,,82.5,1.1464
K00115.01,CONFIRMED,5.4122014,598.0,2.8202,3.38,1296.0,,6398.0,4.25,1.35,,206.5,0.438
K00115.02,CONFIRMED,7.125967,185.0,2.8255,1.91,1182.0,,6398.0,4.25,1.35,,61.9,0.558
K00115.03,CANDIDATE,3.43591631,23.2,3.133,0.55,1272.0,617.61,5779.0,4.339,1.087,0.871,8.7,0.624
K00116.01,CONFIRMED,13.570733,504.0,3.2468,2.47,791.0,,5865.0,4.41,1.04,,91.8,0.672
K00116.02,CONFIRMED,43.84445,613.0,6.3286,2.52,533.0,,5865.0,4.41,1.04,,87.6,0.12
K00116.03,CONFIRMED,6.165,57.0,2.7464,0.81,1025.0,,5865.0,4.41,1.04,,15.8,0.55
K00116.04,CONFIRMED,23.9800854,104.0,5.351,1.31,649.0,41.94,5854.0,4.406,1.012,0.952,17.1,0.95
K00117.01,CONFIRMED,14.749102,420.0,6.7159,2.93,807.0,,5949.0,4.37,1.18,,118.6,0.9182
K00117.02,CONFIRMED,4.90143807,139.6,4.2462,1.84,1263.0,601.94,5851.0,4.192,1.411,,58.8,0.7916
K00117.03,CONFIRMED,3.179962,117.0,3.7308,1.58,1345.0,,5949.0,4.37,1.18,,60.4,0.932
K00117.04,CONFIRMED,7.95830216,58.3,4.384,1.07,1075.0,315.94,5851.0,4.192,1.411,,19.3,0.1553
K00118.01,CONFIRMED,24.99334,275.0,5.9672,1.69,616.0,,5906.0,4.5,0.93,,66.0,0.762
K00119.01,CONFIRMED,49.18394185,1646.2,11.3364,8.2,669.0,47.4,5626.0,3.907,2.057,0.959,355.7,0.035
K00119.02,CONFIRMED,190.3134,1138.0,15.6346,3.4,306.0,,5632.0,4.44,0.94,,159.2,0.6981
K00120.01,FALSE POSITIVE,20.5458701,1329.0,2.34,,,,5525.0,4.23,,,187.3,
K00121.01,FALSE POSITIVE,8.811135,386.0,3.9481,5.48,1358.0,,6197.0,3.87,2.32,,80.7,0.9247
K00122.01,CONFIRMED,11.523063,510.0,4.0638,2.78,823.0,,5714.0,4.39,1.09,,165.9,0.833
K00123.01,CONFIRMED,6.481628092,301.5,3.649,2.29,1150.0,412.93,5952.0,4.212,1.323,,134.9,0.1459
K00123.02,CONFIRMED,21.222534,362.0,6.4708,2.71,793.0,,5871.0,4.15,1.43,,126.9,0.01
K00124.01,CONFIRMED,12.69105209,259.7,3.794,2.96,1067.0,306.75,5887.0,3.938,1.843,,65.6,0.0211
K00124.02,CONFIRMED,31.71987,359.0,5.3504,3.59,731.0,,5899.0,4.07,1.58,,70.4,0.918
K00125.01,CONFIRMED,38.478743,23818.0,5.0254,14.14,499.0,,5515.0,4.49,0.933,,2205.7,0.026
K00126.01,FALSE POSITIVE,33.7972308,11454.0,13.05,,,,5854.0,4.056,,,1463.7,
K00126.02,CANDIDATE,0.875197345,0.0,0.052,0.73,2518.0,9497.39,5855.0,3.999,1.796,0.997,0.0,1.004
K00127.01,CONFIRMED,3.57878272,11445.0,2.8982,10.93,1189.0,,5731.0,4.45,1.039,,2178.0,0.025
K00128.01,CONFIRMED,4.942783419,11145.0,3.25346,10.62,1008.0,244.42,5514.0,4.459,0.978,0.996,2040.7,0.566
K00129.01,CONFIRMED,24.6691698,7685.0,7.015,11.8,824.0,,6741.0,4.26,1.39,,975.3,0.032
K00129.02,CANDIDATE,143.21109362,,2.71,,,,,,,,,
K00130.01,FALSE POSITIVE,34.193600311,13715.0,5.41382,21.95,778.0,86.74,6129.0,3.991,1.786,0.913,1405.6,0.625
K00131.01,CONFIRMED,5.0142325,6361.0,4.599,9.0,1225.0,,6411.0,4.4,1.13,,1257.7,0.028
K00132.01,FALSE POSITIVE,10.810131693,6306.0,4.4724,14.25,985.0,222.68,6211.0,4.269,1.284,,848.8,0.9491
K00133.01,FALSE POSITIVE,4.6187664,4971.0,5.5697,8.1,1176.0,,6026.0,4.38,1.08,,1143.8,0.7
K00134.01,CONFIRMED,67.5952229,5275.9,11.5753,12.28,588.0,28.2,6038.0,4.082,1.744,,525.6,0.0927
K00135.01,CONFIRMED,3.02409489,7832.0,2.8179,10.56,1402.0,,6082.0,4.37,1.201,,2058.9,0.199
K00136.01,CANDIDATE,15.66388467,5265.8,2.4391,23.45,1060.0,298.77,5996.0,3.901,2.221,,308.3,0.9559
K00137.01,CONFIRMED,7.641567589,2269.7,3.41018,4.91,899.0,154.25,5356.0,4.338,1.055,1.0,437.5,0.027
K00137.02,CONFIRMED,14.85890852,3269.0,3.5252,5.94,720.0,63.52,5356.0,4.338,1.055,1.0,456.8,0.255
K00137.03,CONFIRMED,3.504691252,315.1,1.9811,2.03,1165.0,435.21,5356.0,4.338,1.055,1.0,67.5,0.741
K00138.01,CANDIDATE,48.937964,6948.0,6.5678,23.3,753.0,,7060.0,4.12,1.74,,650.3,0.986
K00139.01,CONFIRMED,224.79712,3480.0,11.1189,7.34,324.0,,5952.0,4.38,1.16,,266.8,0.707
K00139.02,CONFIRMED,3.341802938,159.8,3.0241,1.75,1311.0,698.74,5906.0,4.361,1.145,,51.7,0.9137
K00140.01,FALSE POSITIVE,19.978478,1499.0,8.7491,8.9,1339.0,,9628.0,4.23,1.84,,212.3,0.914
K00141.01,CANDIDATE,2.6242336,2616.0,1.4219,5.43,1202.0,,5425.0,4.5,0.933,,447.3,0.828
K00142.01,CONFIRMED,10.916108342,1479.0,3.6496,3.93,758.0,78.19,5575.0,4.521,0.932,,302.2,0.7699
K00142.02,FALSE POSITIVE,339.42934084,,7.5,,,,,,,,,
K00143.01,FALSE POSITIVE,22.6511879,2277.2,3.6465,8.95,919.0,168.5,6977.0,4.195,1.559,,234.9,0.9247
K00144.01,CONFIRMED,4.1762599,1363.0,3.621,3.03,890.0,,4955.0,4.57,0.795,,272.1,0.596
K00145.01,FALSE POSITIVE,102.9641952,1896.7,15.735,39.0,797.0,95.4,5047.0,3.066,7.119,1.0,86.1,0.922
K00146.01,FALSE POSITIVE,8.6678241,2649.0,4.194,18.1,1326.0,,6302.0,3.93,2.09,,492.6,0.98
K00147.01,FALSE POSITIVE,145.5623966,3544.0,5.45,,,,5914.0,4.338,,,97.6,
K00148.01,CONFIRMED,4.77800306,473.0,2.7361,1.85,932.0,177.79,5192.0,4.489,0.873,1.0,115.4,0.02
K00148.02,CONFIRMED,9.673928,1091.0,4.4,3.15,740.0,,5190.0,4.49,0.888,,187.2,0.712
K00148.03,CONFIRMED,42.89592,629.0,7.464,2.35,450.0,,5190.0,4.49,0.888,,71.5,0.671
K00149.01,CONFIRMED,14.55730897,956.9,7.7643,4.32,879.0,141.0,5774.0,4.159,1.412,1.0,200.0,0.036
K00150.01,CONFIRMED,8.408876951,804.8,3.4928,2.72,914.0,164.66,5763.0,4.361,0.957,,147.3,0.1335
K00150.02,CONFIRMED,28.57414,851.0,5.1899,3.7,649.0,,5822.0,4.29,1.15,,105.4,0.762
K00151.01,CANDIDATE,13.447247,1426.0,3.2337,6.0,852.0,,6290.0,4.42,1.08,,108.9,0.976
K00152.01,CONFIRMED,52.09081627,2894.1,8.6388,7.14,592.0,29.07,6198.0,4.237,1.324,0.994,243.5,0.065
K00152.02,CONFIRMED,27.4022,776.0,6.8189,3.1,685.0,,6405.0,4.42,1.1,,85.8,0.0129
K00152.03,CONFIRMED,13.48458,678.0,5.0353,2.94,868.0,,6405.0,4.42,1.1,,86.8,0.36
K00152.04,CONFIRMED,81.0632,468.0,3.7706,3.0,477.0,,6405.0,4.42,1.1,,20.2,0.95
K00153.01,CONFIRMED,8.925079516,977.5,2.6766,2.36,628.0,36.89,4728.0,4.628,0.693,1.0,135.8,0.74
K00153.02,CONFIRMED,4.753994,765.0,2.5968,2.07,773.0,,4725.0,4.64,0.687,,154.8,0.75
K00154.01,FALSE POSITIVE,30.0100292,33.0,4.15,,,,6282.0,4.382,,,2.6,
K00155.01,CONFIRMED,5.660691,745.0,4.708,3.74,1164.0,,5723.0,4.19,1.3,,221.9,0.663
K00156.01,CONFIRMED,8.041331208,590.4,2.6319,1.28,507.0,15.64,3983.0,4.721,0.54,,82.2,0.0898
K00156.02,CONFIRMED,5.188561757,353.6,2.3655,1.0,587.0,28.04,3983.0,4.721,0.54,,58.4,0.1174
K00156.03,CONFIRMED,11.776147,1328.0,2.9261,2.53,549.0,,4619.0,4.66,0.654,,198.0,0.69
K00157.01,CONFIRMED,13.02492819,809.2,4.56,2.94,786.0,90.1,5657.0,4.364,1.046,,124.9,0.0416
K00157.02,CONFIRMED,22.68714105,995.5,5.4835,3.26,653.0,42.95,5657.0,4.364,1.046,,130.4,0.0153
K00157.03,CONFIRMED,31.99552485,1376.1,4.2817,4.12,582.0,27.17,5657.0,4.364,1.046,1.0,128.0,0.69
K00157.04,CONFIRMED,46.6858024,605.1,6.4314,2.74,513.0,16.41,5657.0,4.364,1.046,,60.9,0.6989
K00157.05,CONFIRMED,118.378379,1116.8,9.5552,3.46,376.0,4.75,5657.0,4.364,1.046,,86.7,0.1086
K00157.06,CONFIRMED,10.303995,260.0,4.0284,1.72,851.0,,5685.0,4.38,1.06,,56.6,0.15
K00158.01,FALSE POSITIVE,5.8018305,656.0,3.6784,6.8,1494.0,,6021.0,3.87,2.15,,113.4,0.91
K00159.01,CONFIRMED,8.990916,465.0,4.1668,2.8,997.0,,6069.0,4.3,1.19,,103.1,0.731
K00159.02,CONFIRMED,2.403654,79.0,1.4074,1.33,1540.0,,6069.0,4.3,1.19,,20.2,0.941
K00160.01,CANDIDATE,13.73809156,699.6,3.3373,3.95,912.0,163.52,6375.0,4.292,1.178,,71.2,0.9555
K00161.01,CONFIRMED,3.1055091,894.0,1.744,2.68,981.0,,4915.0,4.55,0.798,,242.4,0.8
K00162.01,CONFIRMED,14.006406,705.0,4.6697,2.54,752.0,,5817.0,4.45,0.96,,116.5,0.28
K00163.01,CONFIRMED,11.119888,655.0,3.3045,2.2,705.0,,5264.0,4.5,0.83,,109.8,0.68
K00164.01,FALSE POSITIVE,4.4645483,265.0,3.0312,3.2,1601.0,,6098.0,3.91,2.02,,57.1,0.03
K00165.01,CONFIRMED,13.22178,892.0,2.918,2.74,651.0,,5221.0,4.53,0.814,,103.1,0.82
K00166.01,CONFIRMED,12.493311,737.0,2.2716,2.5,722.0,,5386.0,4.43,0.91,,88.0,0.61
K00167.01,CONFIRMED,4.919576,426.0,4.2284,2.45,1246.0,,6485.0,4.41,1.14,,145.8,0.586
K00168.01,CONFIRMED,10.742447,411.0,6.2123,3.69,1166.0,,6142.0,3.97,1.87,,97.3,0.0
K00168.02,CONFIRMED,15.27438229,218.3,6.1502,2.28,910.0,162.22,5828.0,4.09,1.548,,41.3,0.2081
K00168.03,CONFIRMED,7.10695741,131.0,5.1462,1.72,1157.0,422.8,5761.0,4.091,1.518,0.996,33.8,0.079
K00169.01,FALSE POSITIVE,11.702194,577.0,2.0904,2.2,760.0,,5815.0,4.54,0.88,,62.1,0.61
K00170.01,FALSE POSITIVE,15.60859796,321.5,6.086,5.83,1419.0,958.55,8014.0,3.94,2.43,,53.1,0.9795
K00171.01,CONFIRMED,5.968741,504.0,3.6762,2.74,1170.0,,6495.0,4.4,1.15,,122.2,0.664
K00171.02,CONFIRMED,13.07162,256.0,3.2041,2.12,902.0,,6495.0,4.4,1.15,,37.1,0.873
K00172.01,CONFIRMED,13.722364,589.0,5.2396,2.28,734.0,,5886.0,4.54,0.9,,107.3,0.631
K00172.02,CONFIRMED,242.4677,336.0,12.9854,1.74,281.0,,5886.0,4.54,0.9,,25.9,0.668
K00173.01,CONFIRMED,10.060791,453.0,4.4787,2.48,905.0,,5706.0,4.29,1.18,,90.8,0.05
K00174.01,CONFIRMED,56.35387,1046.0,3.3104,1.94,331.0,,4768.0,4.68,0.627,,62.8,0.0293
K00175.01,FALSE POSITIVE,6.714263,417.0,2.8502,2.6,1135.0,,6078.0,4.25,1.27,,81.6,0.01
K00176.01,CONFIRMED,30.22935,431.0,6.4721,2.6,696.0,,6568.0,4.39,1.18,,78.5,0.708
K00177.01,CONFIRMED,21.06046,306.0,5.2864,1.84,678.0,,5758.0,4.38,1.06,,55.0,0.0215
K00178.01,FALSE POSITIVE,6.142826,137.0,4.718,1.32,1156.0,,6494.0,4.4,1.14,,42.8,0.029
K00179.01,CONFIRMED,20.74028645,1023.3,10.3939,4.24,798.0,95.68,6226.0,4.264,1.299,0.999,155.3,0.431
K00179.02,CONFIRMED,572.3979,1694.0,26.6487,5.0,234.0,,6081.0,4.42,1.04,,88.8,0.8727
K00180.01,CONFIRMED,10.045607,671.0,3.2557,2.53,797.0,,5680.0,4.5,0.92,,157.6,0.68
K00181.01,FALSE POSITIVE,5.093938656,26404.0,3.92835,17.62,1137.0,395.38,6197.0,4.449,1.035,,2233.3,0.6052
K00182.01,CANDIDATE,3.479425021,20253.0,3.4394,13.17,1170.0,443.65,5903.0,4.51,0.885,,707.0,0.5985
K00183.01,CONFIRMED,2.68432897,18148.0,2.6749,12.4,1301.0,,5976.0,4.52,0.93,,3610.3,0.025
K00184.01,FALSE POSITIVE,7.300735329,13654.0,5.77221,13.79,1095.0,339.96,6428.0,4.377,1.156,,1737.2,0.4087
K00185.01,FALSE POSITIVE,23.210484,26935.0,3.11,,,,5645.0,4.625,,,1147.2,
K00186.01,CONFIRMED,3.2432603,16552.0,3.0325,12.3,1258.0,,6089.0,4.5,0.97,,2016.1,0.03
K00187.01,FALSE POSITIVE,30.882549,24282.0,5.342,14.2,572.0,,5959.0,4.52,0.92,,1531.8,0.029
K00188.01,CONFIRMED,3.79701711,14553.0,2.2378,8.3,914.0,,5152.0,4.64,0.71,,1873.4,0.01
K00189.01,CONFIRMED,30.360447,21338.0,5.9327,9.88,439.0,,4905.0,4.6,0.699,,1546.5,0.17
K00190.01,CANDIDATE,12.2648616,11350.0,4.7121,17.2,914.0,,5535.0,4.09,1.42,,1248.1,0.8259
K00191.01,CONFIRMED,15.3587794,14611.0,4.1921,11.0,685.0,,5696.0,4.52,0.88,,829.1,0.595
K00191.02,CONFIRMED,2.4183985,664.0,2.0722,2.3,1277.0,,5696.0,4.52,0.88,,69.7,0.556
